trial,phase,is_a,approach,correct,reward,p_approach,arousal
27,3,1,0,0,0.0,0.477070,0.9418
28,3,0,1,0,-1.0,0.402619,1.0000
29,3,1,1,1,1.0,0.471556,1.0000
30,3,1,1,1,1.0,0.514554,1.0000
31,3,0,0,1,0.0,0.394831,0.9418
32,3,1,1,1,0.0,0.538656,0.8869
33,3,1,0,0,0.0,0.541229,0.8352
34,3,1,0,0,0.0,0.567915,0.7866
35,3,0,1,0,-1.0,0.376555,1.0000
36,3,0,1,0,-1.0,0.357468,1.0000
37,3,0,0,1,0.0,0.336832,0.9418
38,3,1,1,1,1.0,0.486089,1.0000
39,3,1,1,1,1.0,0.530065,1.0000
40,3,1,1,1,1.0,0.566750,1.0000
41,3,1,0,0,0.0,0.586026,0.9418
42,3,1,0,0,0.0,0.577583,0.8869
43,3,1,1,1,1.0,0.572496,1.0000
44,3,0,1,0,-1.0,0.382537,1.0000
45,3,1,1,1,1.0,0.574747,1.0000
46,3,1,0,0,0.0,0.580259,0.9418
47,3,1,1,1,1.0,0.592482,1.0000
48,3,0,0,1,0.0,0.353691,0.9418
49,3,1,1,1,1.0,0.589959,1.0000
50,3,0,0,1,0.0,0.383325,0.9418
51,3,0,1,0,-1.0,0.346930,1.0000
52,3,1,1,1,1.0,0.590548,1.0000
53,3,1,1,1,1.0,0.597759,1.0000
54,3,0,0,1,0.0,0.335637,0.9418
55,3,1,1,1,1.0,0.615435,1.0000
56,3,0,0,1,0.0,0.374016,0.9418
57,3,0,1,0,-1.0,0.363379,1.0000
58,3,1,1,1,0.0,0.596514,0.9418
59,3,0,0,1,0.0,0.328464,0.8869
60,3,1,1,1,1.0,0.597976,1.0000
